titre,auteur,date_publication,cote_rangement
Black Beauty,Anna Sewell,1877,S020
Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,2005,G017
Blood Promise,Richelle Mead,2009,M020
Bossypants,Tina Fey,2011,F001
Brave New World,Aldous Huxley,1932,H026
Breakfast of Champions,Kurt Vonnegut Jr.,1973,V003
Breaking Dawn,Stephenie Meyer,2008,M024
Bridge to Terabithia,Katherine Paterson,1977,P008
Brisingr,Christopher Paolini,2008,P004
Can You Keep a Secret?,Sophie Kinsella,2003,K023
Carrie,Stephen King,1974,K018
Cat's Cradle,Kurt Vonnegut Jr.,1963,V004
Catch-22,Joseph Heller,1961,H011
Catching Fire,Suzanne Collins,2009,C033
Charlie and the Chocolate Factory,Roald Dahl,1964,D002
Charlotte's Web,E.B. White,1952,W013
Choke,Chuck Palahniuk,2001,P002
Cien anos de soledad,Gabriel Garcia Marquez,1967,M005
Cinder,Marissa Meyer,2012,M022
City of Ashes,Cassandra Clare,2008,C027
City of Bones,Cassandra Clare,2007,C023
City of Fallen Angels,Cassandra Clare,2011,C029
City of Glass,Cassandra Clare,2009,C026
City of Lost Souls,Cassandra Clare,2012,C024
Clockwork Angel,Cassandra Clare,2010,C028
Clockwork Prince,Cassandra Clare,2011,C025
Clockwork Princess,Cassandra Clare,2013,C022
Cold Mountain,Charles Frazier,1997,F018
Como agua para chocolate,Laura Esquivel,1989,E006
Complete Harry Potter Boxed Set,J.K. Rowling,1998,R036
Confessions of a Shopaholic,Sophie Kinsella,2000,K022
Coraline,Neil Gaiman,2002,G005
Crescendo,Becca Fitzpatrick,2010,F005
Cutting for Stone,Abraham Verghese,2009,V002
Dark Lover,J.R. Ward,2005,W003
Dark Places,Gillian Flynn,2009,F009
Das Parfum. Die Geschichte eines Morders,Patrick Suskind,1985,S075
Dead Until Dark,Charlaine Harris,2001,H004
Dear John,Nicholas Sparks,2006,S055
Deception Point,Dan Brown,2001,B010
Defending Jacob,William Landay,2012,L005
Delirium,Lauren Oliver,2011,O002
Die Verwandlung,Franz Kafka,1915,K001
Digital Fortress,Dan Brown,1998,B012
Divergent,Veronica Roth,2011,R021
Divine Secrets of the Ya-Ya Sisterhood,Rebecca Wells,1996,W010
Do Androids Dream of Electric Sheep?,Philip K. Dick,1968,D019
Dracula,Bram Stoker,1897,S073
Dragonfly in Amber,Diana Gabaldon,1992,G002
Drawing on the Right Side of the Brain,Betty Edwards,1979,E002
Dress Your Family in Corduroy and Denim,David Sedaris,2004,S010
Dune,Frank Herbert,1965,H016
East of Eden,John Steinbeck,1952,S067
"Eat, pray, love: one woman's search for everything across Italy, India and Indonesia",Elizabeth Gilbert,2006,G016
Eclipse,Stephenie Meyer,2007,M026
El amor en los tiempos del colera,Gabriel Garcia Marquez,1985,M006
Eldest,Christopher Paolini,2005,P005
Eleanor & Park,Rainbow Rowell,2013,R026
Ella Enchanted,Gail Carson Levine,1997,L012
Elle s'appelait Sarah,Tatiana de Rosnay,2007,D012
En man som heter Ove,Fredrik Backman,2012,B001
Ender's Game,Orson Scott Card,1985,C006
Eragon,Christopher Paolini,2002,P006
Evermore,Alyson Noel,2009,N004
Extremely Loud and Incredibly Close,Jonathan Safran Foer,2005,F010
Fall of Giants,Ken Follett,2010,F011
Fallen,Lauren Kate,2009,K003
Fantastic Beasts and Where to Find Them,Newt Scamander,2001,S005
Fast Food Nation: The Dark Side of the All-American Meal,Eric Schlosser,2001,S006
Fear and Loathing in Las Vegas: A Savage Journey to the Heart of the American Dream,Hunter S. Thompson,1971,T004
Fight Club,Chuck Palahniuk,1996,P003
Flickan som lekte med elden,Stieg Larsson,2006,L009
Flowers for Algernon,Daniel Keyes,1966,K006
For Whom the Bell Tolls,Ernest Hemingway,1940,H014
Foundation,Isaac Asimov,1951,A012
"Four Great Tragedies: Hamlet, Othello, King Lear, Macbeth (Signet Classics)",William Shakespeare,1982,S044
Frankenstein,Mary Wollstonecraft Shelley,1818,S045
Franny and Zooey,J.D. Salinger,1961,S002
Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt,2005,L013
Fried Green Tomatoes at the Whistle Stop Cafe,Fannie Flagg,1987,F006
Frostbite,Richelle Mead,2008,M017
Girl with a Pearl Earring,Tracy Chevalier,1999,C018
Go Ask Alice,Beatrice Sparks,1971,S053
Gone Girl,Gillian Flynn,2012,F007
Gone with the Wind,Margaret Mitchell,1936,M030
"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Terry Pratchett,1990,P022
Graceling,Kristin Cashore,2008,C010
Great Expectations,Charles Dickens,1860,D020
Green Eggs and Ham,Dr. Seuss,1960,S019
Greg Heffley's Journal,Jeff Kinney,2004,K021
"Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond,1997,D017
Harry Potter and the Chamber of Secrets,J.K. Rowling,1998,R027
"Harry Potter and the Cursed Child, Parts One and Two",John Tiffany,2016,T005
Harry Potter and the Deathly Hallows,J.K. Rowling,2007,R031
Harry Potter and the Goblet of Fire,J.K. Rowling,2000,R029
Harry Potter and the Order of the Phoenix,J.K. Rowling,2003,R035
Harry Potter and the Philosopher's Stone,J.K. Rowling,1997,R034
Harry Potter and the Prisoner of Azkaban,J.K. Rowling,1999,R030
Hatchet,Gary Paulsen,1986,P012
Heart of Darkness,Joseph Conrad,1899,C037
Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944,Anne Frank,1947,F016
Holes,Louis Sachar,1998,S001
Hotel on the Corner of Bitter and Sweet,Jamie Ford,2009,F013
How the Grinch Stole Christmas!,Dr. Seuss,1957,S018
How to Win Friends and Influence People,Dale Carnegie,1936,C008
"Hush, Hush",Becca Fitzpatrick,2009,F004
I Am Malala: The Girl Who Stood Up for Education and Was Shot by the Taliban,Malala Yousafzai,2012,Y003
I Am Number Four,Pittacus Lore,2010,L023
I Know This Much Is True,Wally Lamb,1998,L003
I Know Why the Caged Bird Sings,Maya Angelou,1969,A010
"I, Robot",Isaac Asimov,1950,A013
If I Stay,Gayle Forman,2009,F014
If You Give a Mouse a Cookie,Laura Joffe Numeroff,1985,N005
Il nome della rosa,Umberto Eco,1980,E001
Il Principe,Niccolo Machiavelli,1513,M002
Im Westen nichts Neues,Erich Maria Remarque,1929,R009
In Cold Blood,Truman Capote,1965,C004
In Her Shoes,Jennifer Weiner,2002,W007
In the Woods,Tana French,2007,F019
Inferno,Dan Brown,2013,B015
Insurgent,Veronica Roth,2012,R022
Interview with the Vampire,Anne Rice,1976,R010
Into the Wild,Jon Krakauer,1996,K028
Into Thin Air: A Personal Account of the Mt. Everest Disaster,Jon Krakauer,1997,K029
Is Everyone Hanging Out Without Me? (And Other Concerns),Mindy Kaling,2011,K002
Island of the Blue Dolphins,Scott O'Dell,1960,O001
It,Stephen King,1986,K012
James and the Giant Peach,Roald Dahl,1961,D004
Jane Eyre,Charlotte Bronte,1847,B007
John Adams,David McCullough,2001,M011
Jurassic Park,Michael Crichton,1990,C039
Just Listen,Sarah Dessen,2006,D015
Killing Floor,Lee Child,1997,C019
Kiss the Girls,James Patterson,1995,P009
La sombra del viento,Carlos Ruiz Zafon,2001,Z001
Le Petit Prince,Antoine de Saint-Exupery,1946,D013
Legend,Marie Lu,2011,L026
Les Miserables,Victor Hugo,1862,H024
Life of Pi,Yann Martel,2001,M007
Little Women,Louisa May Alcott,1868,A008
Lolita,Vladimir Nabokov,1955,N001
Lord of the Flies,William Golding,1954,G021
Luftslottet som sprangdes,Stieg Larsson,2007,L008
Man som hatar kvinnor,Stieg Larsson,2005,L007
Mansfield Park,Jane Austen,1814,A018
Marked,P.C. Cast,2007,C015
Marley & Me: Life and Love with the World's Worst Dog,John Grogan,2005,G036
Matched,Ally Condie,2010,C036
Matilda,Roald Dahl,1988,D001
Maus: A Survivor's Tale : My Father Bleeds History,Art Spiegelman,1985,S060
Me Before You,Jojo Moyes,2012,M040
Me Talk Pretty One Day,David Sedaris,2000,S008
Measure for Measure,William Shakespeare,1603,S032
Memoirs of a Geisha,Arthur Golden,1997,G020
Mere Christianity,C.S. Lewis,1952,L016
Message in a Bottle,Nicholas Sparks,1998,S059
Middlesex,Jeffrey Eugenides,2002,E007
Misery,Stephen King,1987,K011
Miss Peregrine's Home for Peculiar Children,Ransom Riggs,2011,R011
Mistborn : The Final Empire,Brandon Sanderson,2006,S004
Moby Dick,Herman Melville,1851,M021
Mockingjay,Suzanne Collins,2010,C034
Much Ado About Nothing,William Shakespeare,1598,S034
My Sister's Keeper,Jodi Picoult,2004,P016
Naked,David Sedaris,1997,S009
Never Let Me Go,Kazuo Ishiguro,2005,I004
Neverwhere,Neil Gaiman,1996,G008
"New Moon (Twilight, #2)",Stephenie Meyer,2006,M023
Nineteen Eighty-Four,George Orwell,1949,O004
Nineteen Minutes,Jodi Picoult,2007,P017
Northern Lights,Philip Pullman,1995,P025
Number the Stars,Lois Lowry,1989,L025
O Alquimista,Paulo Coelho,1988,C031
Odd Thomas,Dean Koontz,2003,K026
Of Mice and Men,John Steinbeck,1937,S066
"Oh, the Places You'll Go!",Dr. Seuss,1990,S015
Oliver Twist,Charles Dickens,1838,D023
On the Road,Jack Kerouac,1955,K004
One Day,David Nicholls,2009,N002
One for the Money,Janet Evanovich,1994,E008
Orphan Train,Christina Baker Kline,2013,K025
Outlander,Diana Gabaldon,1991,G001
Outliers: The Story of Success,Malcolm Gladwell,2008,G019
Paper Towns,John Green,2008,G026
Pride and Prejudice,Jane Austen,1813,A019
Prince Caspian: The Return to Narnia,C.S. Lewis,1951,L014
"PS, I Love You",Cecelia Ahern,2003,A005
Quiet: The Power of Introverts in a World that Can't Stop Talking,Susan Cain,2012,C002
Rebecca,Daphne du Maurier,1938,D028
Red Dragon,Thomas Harris,1981,H006
Reflected in You,Sylvia Day,2012,D010
Room,Emma Donoghue,2010,D025
Running with Scissors,Augusten Burroughs,2002,B021
Safe Haven,Nicholas Sparks,2010,S058
Salem's Lot,Stephen King,1975,K010
Sense and Sensibility,Jane Austen,1811,A021
Shadow Kiss,Richelle Mead,2008,M018
Sharp Objects,Gillian Flynn,2006,F008
She's Come Undone,Wally Lamb,1992,L004
Shiver,Maggie Stiefvater,2009,S071
Siddhartha,Hermann Hesse,1922,H017
Snow Crash,Neal Stephenson,1992,S068
Snow Flower and the Secret Fan,Lisa See,2005,S011
Something Blue,Emily Giffin,2005,G014
Something Borrowed,Emily Giffin,2004,G015
Sonnets,William Shakespeare,1592,S038
Speak,Laurie Halse Anderson,1999,A009
Speaker for the Dead,Orson Scott Card,1986,C005
Spirit Bound,Richelle Mead,2010,M019
Stardust,Neil Gaiman,1999,G004
Stargirl,Jerry Spinelli,2000,S062
Station Eleven,Emily St. John Mandel,2014,M004
Steve Jobs,Walter Isaacson,2011,I003
Still Alice,Lisa Genova,2007,G011
Storm Front,Jim Butcher,2000,B022
The 5th Wave,Rick Yancey,2013,Y001
The 7 Habits of Highly Effective People,Stephen R. Covey,1989,C038
The Adventures of Huckleberry Finn,Mark Twain,1884,T014
The Adventures of Tom Sawyer,Mark Twain,1876,T015
The Amber Spyglass,Philip Pullman,2000,P026
The Andromeda Strain,Michael Crichton,1969,C040
The Art of Racing in the Rain,Garth Stein,2006,S064
The Bad Beginning,Lemony Snicket,1999,S061
The Battle of the Labyrinth,Rick Riordan,2008,R020
The Bell Jar,Sylvia Plath,1963,P019
The BFG,Roald Dahl,1982,D005
The Book Thief,Markus Zusak,2005,Z002
The Bourne Identity,Robert Ludlum,1980,L027
The Boy in the Striped Pyjamas,John Boyne,2006,B004
The Brief Wondrous Life of Oscar Wao,Junot Diaz,2007,D018
The Call of the Wild,Jack London,1903,L022
The Casual Vacancy,J.K. Rowling,2012,R033
The Cat in the Hat,Dr. Seuss,1957,S016
The Catcher in the Rye,J.D. Salinger,1951,S003
The Chronicles of Narnia,C.S. Lewis,1956,L015
The City of Ember,Jeanne DuPrau,2003,D031
The Clan of the Cave Bear,Jean M. Auel,1980,A015
The Client,John Grisham,1993,G032
The Color Purple,Alice Walker,1982,W001
The Complete Works,William Shakespeare,1623,S029
The Cronicle History of Henry the fift,William Shakespeare,1599,S031
The Crucible,Arthur Miller,1953,M028
The Cuckoo's Calling,Robert Galbraith,2013,G009
The Curious Incident of the Dog in the Night-Time,Mark Haddon,2003,H001
The Da Vinci Code,Dan Brown,2003,B011
The Death Cure,James Dashner,2011,D008
"The Devil in the White City: Murder, Magic, and Madness at the Fair that Changed America",Erik Larson,2003,L006
The Devil Wears Prada,Lauren Weisberger,2003,W009
The Elite,Kiera Cass,2013,C012
The Eye of the World,Robert Jordan,1990,J002
The Fault in Our Stars,John Green,2012,G027
The Fellowship of the Ring,J.R.R. Tolkien,1954,T008
The Firm,John Grisham,1991,G031
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Gary Chapman,1990,C016
The Five People You Meet in Heaven,Mitch Albom,2003,A006
The Fountainhead,Ayn Rand,1943,R007
The Girl on the Train,Paula Hawkins,2015,H008
The Giver,Lois Lowry,1993,L024
The Giving Tree,Shel Silverstein,1964,S046
The Glass Castle,Jeannette Walls,2005,W002
The God of Small Things,Arundhati Roy,1997,R037
The Godfather,Mario Puzo,1969,P027
Moby Dick2,Donna Tartt,2013,T003
The Good Earth,Pearl S. Buck,1931,B018
The Grapes of Wrath,John Steinbeck,1939,S065
The Graveyard Book,Neil Gaiman,2008,G007
The Great Gatsby,F. Scott Fitzgerald,1925,F003
The Green Mile,Stephen King,1996,K016
The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,2008,S021
The Handmaid's Tale,Margaret Atwood,1985,A014
The Help,Kathryn Stockett,2009,S072
The Historian,Elizabeth Kostova,2005,K027
The History of Henry the Fourth,William Shakespeare,1597,S036
The Hitchhiker's Guide to the Galaxy,Douglas Adams,1979,A004
The Hobbit,Chuck Dixon,1989,D024
The Hobbit or There and Back Again,J.R.R. Tolkien,1937,T006
The Host,Stephenie Meyer,2008,M025
The Hunger Games,Suzanne Collins,2008,C035
The Husband's Secret,Liane Moriarty,2013,M035
The Immortal Life of Henrietta Lacks,Rebecca Skloot,2010,S050
The Importance of Being Earnest,Oscar Wilde,1895,W015
The Invention of Wings,Sue Monk Kidd,2014,K007
The Joy Luck Club,Amy Tan,1989,T001
The Kitchen House,Kathleen Grissom,2010,G035
The Kite Runner,Khaled Hosseini,2003,H021
The Last Lecture,Randy Pausch,2008,P013
The Last Olympian,Rick Riordan,2009,R018
The Last Song,Nicholas Sparks,2008,S056
"The Life and Strange Surprising Adventures of Robinson Crusoe of York, Mariner",Daniel Defoe,1719,D014
The Light Between Oceans,M.L. Stedman,2012,S063
The Lightning Thief,Rick Riordan,2005,R013
"The Lion, the Witch and the Wardrobe",C.S. Lewis,1950,L017
The Lorax,Dr. Seuss,1971,S017
The Lord of the Rings,J.R.R. Tolkien,1955,T010
The Lost Hero,Rick Riordan,2010,R012
The Lost Symbol,Dan Brown,2009,B013
The Lovely Bones,Alice Sebold,2002,S007
The Lucky One,Nicholas Sparks,2008,S057
The magician's nephew,C.S. Lewis,1953,L018
The Mark of Athena,Rick Riordan,2012,R014
The Martian,Andy Weir,2012,W008
The Maze Runner,James Dashner,2009,D006
The Memory Keeper's Daughter,Kim Edwards,2005,E003
The Merchant of Venice,William Shakespeare,1596,S041
The Name of the Wind,Patrick Rothfuss,2007,R024
The Namesake,Jhumpa Lahiri,2003,L002
The Nanny Diaries,Emma McLaughlin,2002,M016
The Night Circus,Erin Morgenstern,2011,M034
The Nightingale,Kristin Hannah,2015,H002
The Notebook,Nicholas Sparks,1996,S052
The Ocean at the End of the Lane,Neil Gaiman,2013,G006
The Old Man and the Sea,Ernest Hemingway,1952,H013
The Other Boleyn Girl,Philippa Gregory,2001,G029
The Other Hand,Chris Cleave,2008,C030
The Outsiders,S.E. Hinton,1967,H019
The Pact,Jodi Picoult,1998,P018
The Paris Wife,Paula McLain,2011,M015
The Pelican Brief,John Grisham,1992,G033
The Perks of Being a Wallflower,Stephen Chbosky,1999,C017
The Picture of Dorian Gray,Oscar Wilde,1891,W016
The Pillars of the Earth,Ken Follett,1989,F012
The Poisonwood Bible,Barbara Kingsolver,1998,K020
The Princess Bride,William Goldman,1973,G022
The Princess Diaries,Meg Cabot,2000,C001
The Prophet,Kahlil Gibran,1923,G012
The Purpose Driven Life: What on Earth am I Here For?,Rick Warren,2002,W004
The Red Pyramid,Rick Riordan,2010,R015
The Red Tent,Anita Diamant,1997,D016
The Return of the King,J.R.R. Tolkien,1955,T009
The Rosie Project,Graeme Simsion,2013,S049
The Runaway Jury,John Grisham,1996,G034
The Scarlet Letter,Nathaniel Hawthorne,1850,H009
The Scorch Trials,James Dashner,2010,D007
The Secret,Rhonda Byrne,2006,B023
The Secret Garden,Frances Hodgson Burnett,1911,B020
The Secret History,Donna Tartt,1992,T002
The Secret Life of Bees,Sue Monk Kidd,2001,K008
The Selection,Kiera Cass,2012,C011
The Shack: Where Tragedy Confronts Eternity,William Paul Young,2007,Y002
The Shining,Stephen King,1977,K013
The Silence of the Lambs,Thomas Harris,1988,H005
The Sisterhood of the Traveling Pants,Ann Brashares,2001,B006
The Son of Neptune,Rick Riordan,2011,R016
The Stand,Stephen King,1978,K017
The Strange Case of Dr Jekyll and Mr Hyde,Robert Louis Stevenson,1886,S070
The Subtle Knife,Philip Pullman,1997,P024
The Sun Also Rises,Ernest Hemingway,1926,H012
The Tales of Beedle the Bard,J.K. Rowling,2007,R028
The Taming of the Shrew,William Shakespeare,1593,S025
The Tell-Tale Heart,Edgar Allan Poe,1843,P020
The Tempest,William Shakespeare,1623,S026
The Thirteenth Tale,Diane Setterfield,2006,S014
The Thorn Birds,Colleen McCullough,1977,M012
The Time Machine,H.G. Wells,1895,W011
The Time Traveler's Wife,Audrey Niffenegger,2003,N003
The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,2000,G018
The Titan's Curse,Rick Riordan,2007,R017
The Tragedie of Antony and Cleopatra,William Shakespeare,1606,S035
The Tragedie of King Lear,William Shakespeare,1603,S024
The tragedie of King Richard the second,William Shakespeare,1595,S043
The Tragedy of Julius Caesar,William Shakespeare,1599,S042
The Tragedy of King Richard the Third,William Shakespeare,1591,S037
The Tragedy of Macbeth,William Shakespeare,1606,S022
"The Tragedy of Othello, The Moor of Venice",William Shakespeare,1603,S023
"The Tragicall Historie of Hamlet, Prince of Denmark",William Shakespeare,1600,S039
The Two Towers,J.R.R. Tolkien,1954,T007
The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story,Douglas Adams,1996,A002
The Undomestic Goddess,Sophie Kinsella,2005,K024
The Very Hungry Caterpillar,Eric Carle,1969,C007
The Voyage of the Dawn Treader,C.S. Lewis,1951,L020
The Winter's Tale,William Shakespeare,1600,S030
The Wonderful Wizard of Oz,L. Frank Baum,1900,B002
The World According to Garp,John Irving,1978,I001
Their Eyes Were Watching God,Zora Neale Hurston,1937,H025
Things Fall Apart,Chinua Achebe,1958,A001
Thirteen Reasons Why,Jay Asher,2007,A011
Three Cups of Tea,Greg Mortenson,2006,M039
Throne of Glass,Sarah J. Maas,2012,M001
Tintenherz,Cornelia Funke,2003,F021
To Kill a Mockingbird,Harper Lee,1960,L010
Treasure Island,Robert Louis Stevenson,1882,S069
Tuesdays with Morrie,Mitch Albom,1997,A007
"Twelfth Night; or, What You Will",William Shakespeare,1601,S027
Twilight,Stephenie Meyer,2005,M027
Uglies,Scott Westerfeld,2005,W012
Un di Velt Hot Geshvign,Elie Wiesel,1958,W014
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,2010,H018
Under the Dome,Stephen King,2009,K019
Under the Tuscan Sun,Frances Mayes,1996,M008
Untamed: A House of Night Novel,P.C. Cast,2008,C014
V for Vendetta,Alan Moore,1990,M033
Watchmen,Alan Moore,1987,M032
Water for Elephants,Sara Gruen,2006,G037
Watership Down,Richard Adams,1972,A003
Ways of Seeing,John Berger,1972,B003
We Were Liars,E. Lockhart,2014,L021
What Alice Forgot,Liane Moriarty,2009,M037
Where the Heart Is,Billie Letts,1995,L011
Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein,Shel Silverstein,1974,S048
Where the Wild Things Are,Maurice Sendak,1963,S013
"Where'd You Go, Bernadette",Maria Semple,2012,S012
White Oleander,Janet Fitch,1999,F002
Who Moved My Cheese?,Spencer Johnson,1998,J001
Wicked: The Life and Times of the Wicked Witch of the West,Gregory Maguire,1995,M003
Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,2012,S074
"Will Grayson, Will Grayson",John Green,2010,G028
Winnie-the-Pooh,A.A. Milne,1926,M029
Wizard's First Rule,Terry Goodkind,1994,G023
Wonder,R.J. Palacio,2012,P001
World War Z: An Oral History of the Zombie War,Max Brooks,2006,B009
Wuthering Heights,Emily Bronte,1847,B008
Yes Please,Amy Poehler,2014,P021
